currently,Lat,Long
Marineland Florida,29.66934,-81.21267
Dolphin Research Center,24.76794,-80.94455
SeaWorld Orlando,28.411640,-81.459106
SeaWorld San Diego,32.761130,-117.219980
SeaWorld San Antonio,29.45661,-98.69907
U.S. Navy,38.658360,-76.531631
Theater of the Sea,26.10242,-78.66997
Discovery Cove,28.40564,-81.46092
Brookfield Zoo,41.83303,-87.83376
Dolphin Quest Oahu,21.27226,-157.77313
EPCOT The Seas,28.37515,-81.55009
Texas State Aquarium,27.81397,-97.39131
Shedd Aquarium,41.86780,-87.61354
Aquatica Orlando,28.41546,-81.45510
Dolphins Plus Oceanside,25.11928,-80.41856
Six Flags Discovery Kingdom,38.13846,-122.23322
Georgia Aquarium,33.76358,-84.39459
Gulfarium Marine Adventure,30.39471,-86.59288
Dolphinaris Arizona,33.55561,-111.87680
Dolphin Quest Hawaii,20.02845,-155,65635
Mirage Dolphin Habitat,36.12101,-115.17793
Indianapolis Zoo,39.76767,-86.18022
Dolphin Connection,26.88223,-77.61075
Dolphins Plus Bayside,25.11923,-80.41842
Miami Seaquarium,25.775080,-80.194702
Clearwater Marine Aquarium,27.97712,-82.81874
Inst. for Marine Mammal Studies, 30.42064,-89.01800
U.S. Navy Hawaii,21.35401,-157.94168
Marine World Africa USA,38.13846,-122.23368
Minnesota Zoological Garden,45.06291,-93.42947
Dolphin Connection, Inc., The,24.77671,-80.90877
Marine Life Oceanarium,27.33361,-82.57723
Kewalo Basin Marine Mammal Laboratory,21.29105,-157.86070
Institute for Marine Sciences,36.99815,-122.05890
Kahala Mandarin Oriental Hawaii,21.27211,-157.77349
Sea Life Park Hawaii,21.31364,-157.66288
Physiological Research Laboratory,21.29406,-157.86430
Waltzing Waters Aquarium,26.63540,-81.92717
Porpoise Island,28.78252,-87.83030
Marine Mammal Foundation,32.91850,-116.80205
Six Flags Marine World,38.13874,-122.23463
Marineland Amusements Corporation,29.66932,-81.21226
Mote Marine Laboratory,27.33360,-82.57769
Mystic Aquarium,41.37386,-71.95239
Aquarium of Niagara,43.09454,-79.05871
Hawaii Institute of Marine Biology,21.43273,-157.78758
National Aquarium in Baltimore,39.28558,-76.60771
Navy, U.S. (SPAWAR),32.75160,-117.18723
Massachusetts Audubon Wellfleet Wildlife Sanctuary,41.86803,-70.01179
New England Aquarium,42.35949,-71.04876
Long Marine Laboratory,36.94979,-122.06484
Pittsburgh Zoo,40.48439,-79.92195
Point Defiance Zoo and Aquarium,47.30416,-122.51674
Sea World of Ohio,41.34832,-81.37247
Steinhart Aquarium,37.76974,-122.46558
Sugarloaf Dolphin Sanctuary,24.69193,-81.46159
New York Aquarium,40.57417,-73.97566
Wildlife Conservation Society,40.58452,-73.96972
ZooQuarium (Aqua Circus of Cape Cod),41.65007,-70.22432
